experiment name,Date,t_start,t_pulse_start,t_end,WF,FR [%],Q [W],alpha,beta
php,06-04-2024,14:20:48,0,15:22:00,DI water,40,40,90,0
php,08-04-2024,10:25:31,0,11:25:00,DI water,40,60,90,0
php,08-04-2024,13:30:08,0,14:30:00,DI water,40,80,90,0
php,08-04-2024,16:20:59,0,17:20:00,DI water,40,100,90,0
php,09-04-2024,10:19:09,0,11:20:00,DI water,40,120,90,0
php,04-04-2024,11:32:05,11:58:00,12:35:00,DI water,60,40,90,0
php,16-04-2024,14:00:00,14:11:20,15:00:00,DI water,60,60,90,0
php,21-03-2024,14:07:55,14:22:10,15:34:00,DI water,60,80,90,0
php,21-03-2024,17:12:31,17:20:10,18:20:01,DI water,60,100,90,0
php,04-04-2024,16:32:36,0,17:35:00,DI water,60,120,90,0
php,12-04-2024,10:34:30,10:53:00,11:34:30,DI water,60,80,60,0
php,12-04-2024,13:50:00,14:01:44,14:50:00,DI water,60,100,60,0
php,12-04-2024,12:01:00,12:12:25,13:05:00,DI water,60,120,60,0


